,FCN loss,Deepcrack,Enet,Deeplabv3,LRASPP,Unet,ECSNet
0,17.14192589,24.20815319,150.1261956,26.74548391,28.55558479,43.96744731,77.59249264
1,7.585976303,14.51527352,87.58313529,11.5276313,13.70415565,24.2853801,52.33760878
2,6.071060732,14.04592845,59.69854943,8.448316693,10.41258103,16.50750066,39.94679096
3,5.248030622,13.28821974,41.9068751,6.657324243,8.567405898,11.99803298,31.95509812
4,4.552829213,13.63720463,31.20981728,5.769686451,7.418842223,9.362475175,25.891111
5,4.538246594,13.16525421,24.40516121,5.054202007,6.545631751,7.504237551,21.3125906
6,4.082029257,12.21129714,20.4071854,4.500746936,5.992843643,6.478645619,17.95409836
7,3.889922567,11.56353642,17.66006412,4.24062261,5.579829047,5.918205928,15.42958605
8,3.88613905,10.91137123,16.12051568,4.130392354,5.303297257,5.327576945,13.46050953
9,3.821616732,10.85070814,15.08268789,4.038381634,5.074444359,5.117203226,12.0022357
10,3.594910393,9.923519439,14.06625846,3.920099778,4.878494566,4.747988464,10.75177132
11,3.490537923,9.389462047,13.43403797,3.638012817,4.883099888,4.558989175,9.754435103
12,3.357700381,9.219611465,12.75663172,3.60507698,4.829369919,4.434365366,8.945031703
13,3.262126631,8.775550486,12.44886378,3.61769278,4.560442269,4.327996632,8.383505035
14,3.277977991,8.568455815,12.22750196,3.377951488,4.494881038,4.205440607,7.837866686
15,3.154797545,8.534206843,11.86264914,3.384974928,4.44549156,3.960657779,7.499394633
16,3.177555561,8.64324387,11.50392239,3.345837531,4.479551883,3.983486377,7.122793827
17,3.111623151,7.930931382,11.4015849,3.255552894,4.425176982,3.808387496,6.904808745
18,2.940287402,7.834046376,11.28766142,3.14845532,4.278060792,3.837212881,6.676831309
19,2.970129892,7.435263259,10.93477356,3.150322302,4.209145831,3.838292718,6.462024879
20,2.957713714,7.473111358,11.12085753,3.188803867,4.210310074,3.765920559,6.449019585
21,2.854692642,7.050243606,10.73621954,3.097093582,4.148729056,3.653218533,6.216610983
22,2.878442531,7.068360333,10.5989049,2.950927173,4.11065015,3.798663335,6.101032004
23,2.747507985,7.009812503,10.51474962,2.914950617,4.085227793,3.81558381,6.077190096
24,2.753684716,7.207066595,10.4201429,2.939904625,4.062865168,3.661120489,5.879961412
25,2.710006973,6.651627237,10.22487559,2.842061546,4.067131238,3.495017549,5.840282829
26,2.636791768,6.936655221,9.970985286,2.848220037,3.973637264,3.596081167,5.728182064
27,2.60384174,6.597420157,10.07963693,2.790777087,3.944566714,3.407296681,5.691692799
28,2.566742678,6.344046704,9.697228642,2.734228784,3.918169063,3.500290675,5.641215803
29,2.585301423,6.516627841,9.70278457,2.697254575,3.86113362,3.412411449,5.538185518
30,2.820572604,6.133718424,9.516873578,2.695963792,3.844948715,3.310095211,5.47259004
31,2.892110438,6.244287603,9.697236262,2.663882563,3.815345088,3.367943537,5.509528484
32,2.491660293,5.973855755,9.446665181,2.816977105,3.821744278,3.345066831,5.407545375
33,2.470500607,5.964533593,9.442112138,2.63718394,3.799921179,3.221359256,5.368787449
34,2.424322254,6.058554415,9.451411102,2.554353987,3.756375818,3.333318594,5.403957475
35,2.400040526,6.388076099,9.288329971,2.535545964,3.749424454,3.16985272,5.269092608
36,2.389248928,5.988084232,9.189280184,2.54640561,3.732609499,3.246949691,5.332194189
37,2.358329082,6.621285468,9.170498861,2.571512681,3.711479617,3.192037055,5.149681389
38,2.378350075,5.81728729,8.922075829,2.472643864,3.675073426,3.023332687,5.274273459
39,2.328585355,5.665595169,8.901979428,2.461349455,3.66452238,3.281860877,5.165029421
40,2.357509702,5.683938134,8.871769655,2.435959168,3.621652918,3.147010681,5.201976975
41,2.26754638,5.494607834,8.853441987,2.402933887,3.605420178,3.171140457,5.195052652
42,2.248852557,5.577367968,8.712411191,2.399139757,3.601586688,3.047537768,5.100478606
43,2.249343465,5.409045562,8.783912603,2.342847724,3.560374433,3.153825001,5.089292657
44,2.212190798,5.357758902,8.656598128,2.329518634,3.548556536,3.036963663,4.989918461
45,2.216922489,5.231981586,8.577144775,2.334231563,3.567174265,2.97138418,5.086060842
46,2.174067915,5.162780421,8.5580523,2.328388238,3.521566806,3.056067575,5.002272891
47,2.155916611,5.386133303,8.504403508,2.289063089,3.511025053,2.944284004,4.964940093
48,2.144553108,5.133691345,8.446450563,2.266546632,3.4877332,2.871031011,4.888936026
49,2.159465658,5.497934015,8.342632752,2.265140262,3.508166654,2.915783069,4.863731852
50,2.158053685,4.88434403,8.425287322,2.266580433,3.488220129,2.964446288,4.8135236
51,2.09496003,5.124498749,8.238523116,2.247342615,3.440040855,2.874647752,4.87536638
52,2.067709104,4.857997098,8.358083986,2.264903551,3.458264755,2.917366325,4.830115214
53,2.073686888,5.13020837,8.158954857,2.307184851,3.448663391,3.011877254,4.723456403
54,2.138057366,4.759161093,8.224355629,2.178458555,3.432941061,2.872354379,4.777765626
55,2.05822813,4.936700533,8.235350894,2.190188356,3.415834807,2.778410153,4.787339078
56,2.029973103,4.639632902,8.096937191,2.184878292,3.383641275,2.900006345,4.778663805
57,2.016426488,4.670601695,8.088960037,2.14692127,3.379597381,2.847383401,4.713544456
58,2.026610696,4.65262501,8.028252771,2.122114839,3.379840706,2.968524183,4.708817227
59,2.012486237,4.604194648,7.922421364,2.099927152,3.363696842,2.754813238,4.684904363
60,2.025895924,4.732897437,7.801454896,2.104879458,3.352762952,2.721768518,4.650845693
61,1.989109936,4.58065154,7.809274584,2.126074534,3.340925373,2.841543399,4.615580361
62,1.968741129,4.414205143,7.926746702,2.080328204,3.311717762,2.804358697,4.56300034
63,1.977936666,4.624248597,7.848092729,2.082798318,3.322087405,2.643350182,4.608817637
64,2.009307212,4.361559751,7.737879281,2.078541901,3.45363046,2.662034686,4.580522381
65,1.973577904,4.317485673,7.599120279,2.061283844,3.353676543,2.734936003,4.613585468
66,1.935575617,4.32674802,7.667887192,2.067338191,3.28476219,2.66946804,4.517762741
67,1.941638887,5.072176014,7.74568465,2.10912717,3.28104744,2.643029988,4.523737568
68,1.928289325,4.160579024,7.651933436,2.061242492,3.275536439,2.692129957,4.46012171
69,1.908584252,4.311518521,7.725227397,1.999907248,3.261756832,2.741722696,4.435975624
70,1.965222538,4.628112243,7.49866239,1.998095787,3.269499017,2.611792893,4.537714224
71,1.908261171,4.405338885,7.667479597,2.017897896,3.254355872,2.669322396,4.465958688
72,1.894088523,4.017460695,7.661801596,2.059779249,3.230986476,2.770025206,4.460513696
73,1.89380435,4.045302993,7.533361978,2.01268498,3.235470412,2.633495995,4.419668062
74,1.90080733,4.017288165,7.467668119,1.984382458,3.220347041,2.552711181,4.368338389
75,1.887339513,3.980781613,7.408269403,1.968866969,3.213998912,2.53602565,4.439415423
76,1.873462306,4.16297353,7.375310732,1.971926907,3.211142432,2.664721346,4.411224492
77,1.875728015,3.901590454,7.302720578,1.981912215,3.202189356,2.511663196,4.35748782
78,1.876263437,3.883511872,7.332730934,1.965676729,3.191812135,2.548675234,4.383278256
79,1.874938508,3.897944271,7.32578331,1.993984772,3.194725439,2.527280466,4.367089549
80,1.852708017,3.802164681,7.29890775,1.95370192,3.153144211,2.573412511,4.275746454
81,1.882893376,3.881132011,7.220581376,1.961370279,3.156297456,2.537167195,4.358457904
82,2.085761555,3.907755048,7.254633594,1.998884718,3.165318992,2.493933949,4.340893222
83,1.861680614,3.808193047,7.230445771,1.94550708,3.145126693,2.556441626,4.300128957
84,1.834763282,3.684505163,7.317773523,1.922773616,3.17445915,2.482569181,4.294682095
85,1.813439464,3.654026717,7.212455558,1.913568514,3.140934255,2.437761236,4.178404598
86,1.821332386,3.643354083,7.193308607,1.902814345,3.141577696,2.42250939,4.314871194
87,1.821280819,3.526236647,7.190871515,1.90860672,3.115383046,2.390532931,4.280539731
88,1.825603527,3.533547083,7.103371511,1.904155348,3.125871325,2.472835049,4.191659788
89,1.824072054,3.49698116,7.136248764,1.891879846,3.105360392,2.45192531,4.172480363
90,1.848860479,3.541914246,7.002074503,1.897514523,3.08695174,2.394479656,4.219163736
91,1.908265004,3.756458935,7.233392321,1.885767578,3.09692701,2.554946205,4.234895483
92,1.969397242,3.357901036,7.015907109,1.891314199,3.104160951,2.445921645,4.12554767
93,1.938418006,3.382531692,7.024952572,1.88755419,3.07615977,2.356534409,4.169380955
94,1.805119622,3.504355088,6.860737081,1.880070154,3.076173494,2.358927811,4.127298288
95,1.794050941,3.280081957,6.946748828,1.865152698,3.066845635,2.326115198,4.132910727
96,1.810276096,3.327629777,6.830888426,1.884612828,3.087342761,2.375729177,4.210964905
97,1.804548888,3.309923757,6.956311228,1.850639524,3.040438656,2.463031541,4.16347852
98,1.798830998,3.466914094,6.862413747,1.862174347,3.072559433,2.310375595,4.046578018
99,1.802353346,3.141213681,6.782540118,1.847105579,3.038707632,2.298153528,4.094333978
100,1.799945333,3.273496986,6.856941219,1.865926697,3.046082949,2.381449663,4.044018978
101,1.784098157,3.182170694,6.791193681,1.854041073,3.043328522,2.436877707,4.040227955
102,1.793771217,3.097422474,6.86568319,1.858209959,3.032588614,2.307909962,4.072524661
103,1.785623319,3.133882373,6.765594584,1.83907081,3.016631011,2.387043872,4.036157826
104,1.797591637,3.108580654,6.764787346,1.836032163,3.018136342,2.314690526,4.054481387
105,1.91309295,3.111774898,6.891222345,1.840241407,3.003097289,2.23992519,4.002932895
106,2.042132329,3.045506041,6.772874346,1.846239828,3.001917187,2.237880461,3.986465182
107,1.807778538,3.083149082,6.658066703,1.88668488,3.000364626,2.270821265,4.023495242
108,1.814261707,3.20760527,6.711322086,1.814683838,2.993859764,2.271210595,3.954123652
109,1.755018538,3.011803061,6.694920757,1.815111543,3.007965049,2.244685317,3.919350329
110,1.769083488,3.032098674,6.726986767,1.822458872,2.978632368,2.252860095,3.970417334
111,1.755730066,3.000628294,6.65415648,1.819082828,2.961415495,2.186634262,3.924170788
112,1.757439277,3.013315714,6.679139557,1.818093783,2.973495748,2.238033883,3.951669969
113,1.755480847,2.879120187,6.651768533,1.810055831,2.9704249,2.203097375,3.938412003
114,1.769867416,3.068534535,6.655997131,1.818274203,2.971054947,2.181179504,3.922298659
115,1.764708391,2.96394475,6.562383676,1.828789447,2.956187232,2.343330547,3.918576902
116,1.767203356,2.84603455,6.630239843,1.827515262,2.960902449,2.197107884,3.97034386
117,1.775373003,2.793991595,6.517839627,1.788133794,2.937847978,2.194553624,3.888918586
118,1.832129774,2.889381659,6.600226812,1.797247307,2.944851342,2.343205445,3.850721831
119,1.808495872,2.780514302,6.465384213,1.805297505,2.942017959,2.127137985,3.893802308
120,1.763568991,2.750857466,6.474419808,1.786779455,2.92933816,2.178970032,3.831807066
121,1.735688904,2.756078532,6.4892705,1.828044415,2.929902337,2.079510058,3.820097495
122,1.731404101,2.705587796,6.462802209,1.79284829,2.944156812,2.138445513,3.8597873
123,1.734916932,2.718695607,6.525592477,1.777442059,2.945564295,2.152434893,3.777898226
124,1.749209981,2.634605195,6.516384602,1.785423023,2.93461837,2.128423359,3.817805875
125,1.746776533,2.66595406,6.367886746,1.779560953,2.908991713,2.138121659,3.791468313
126,1.734890644,2.683480163,6.554079008,1.780086383,2.924596469,2.14881799,3.76379719
127,1.791585006,2.642497894,6.487896561,1.789086219,2.923564129,2.079406669,3.790229827
128,1.719873858,2.593096902,6.413791489,1.775780942,2.898965775,2.09480767,3.783136567
129,1.7650335,2.577262811,6.419014141,1.768745529,2.896103898,2.081062305,3.776940633
130,1.713903314,2.578859256,6.453547634,1.769986929,2.902659042,2.107076538,3.767496906
131,1.718156084,2.573013954,6.371677808,1.770340321,2.914399741,2.119695294,3.720205845
132,1.730947333,2.546111447,6.368251143,1.756086966,2.894555382,2.078790501,3.684362119
133,1.726347565,2.526227109,6.426829695,1.766164329,2.918092119,2.06388909,3.730600886
134,1.726487065,2.50845498,6.379493992,1.760441113,2.91865171,2.036859469,3.717216395
135,1.732665449,2.481625128,6.398650416,1.757427842,2.87085034,2.049576608,3.68652878
136,1.731465987,2.473408121,6.312347968,1.756138187,2.86814246,2.034000901,3.662405761
137,1.715702281,2.423502918,6.283033331,1.757229076,2.864631169,2.052931552,3.709097497
138,1.710737579,2.617265085,6.247683631,1.789108169,2.864435716,2.017774639,3.647540759
139,1.720838815,2.378413712,6.242289013,1.858644352,2.863198118,2.038680116,3.656693043
140,1.718407615,2.347905972,6.246421624,1.827995994,2.876843133,2.002822388,3.641479013
141,1.701737563,2.372108136,6.235108297,1.755228559,2.862005803,2.022159991,3.634235136
142,1.704567432,2.380636333,6.259312991,1.736765287,2.88826546,1.980555116,3.608366158
143,1.712424269,2.326692584,6.235457489,1.734299435,2.851964289,1.983146724,3.60669902
144,1.723266872,2.335619761,6.286945202,1.743205956,2.877577513,2.01659772,3.616076244
145,1.699524773,2.388123663,6.238898501,1.742548488,2.849420313,2.039925906,3.607227791
146,1.702614199,2.314424497,6.261047465,1.752420459,2.837777996,1.93941951,3.623822418
147,1.698676796,2.246654543,6.245762155,1.750819207,2.848057376,1.940822106,3.600680938
148,1.706127962,2.334356353,6.334477579,1.734994487,2.842379434,2.169498631,3.598033603
149,1.693707328,2.212051143,6.138883788,1.739814735,2.850798508,1.965186263,3.528545449
150,1.701444615,2.227925803,6.166260458,1.739747933,2.826960552,1.899987061,3.556202498
151,1.708931229,2.202508146,6.163882951,1.752308376,2.831540786,1.890034635,3.545388691
152,1.695292386,2.216139958,6.156094952,1.734071099,2.82147625,1.964256097,3.526317446
153,1.69052192,2.386827775,6.158481155,1.731418302,2.8253273,1.880512229,3.553802853
154,1.693762636,2.166037888,6.04782938,1.735235197,2.809955711,1.970890407,3.549833018
155,1.685396648,2.16827578,6.147682716,1.73251561,2.80515124,1.900352536,3.514659598
156,1.692973442,2.139202329,6.124673714,1.737463517,2.807119147,1.884172528,3.499136647
157,1.686031447,2.153553192,6.068587374,1.729589722,2.793923242,1.901304476,3.557351207
158,1.68432901,2.113761903,6.108532638,1.730870231,2.809616605,1.84910366,3.541996751
159,1.684276945,2.139875438,6.050555915,1.717713521,2.807793721,1.933314769,3.497368541
160,1.691166193,2.091746556,6.072659704,1.722855912,2.803091409,1.873225546,3.530542444
161,1.680584338,2.114232908,6.103003918,1.722595635,2.785219783,1.845967065,3.524331897
162,1.668418863,2.086595846,6.037765845,1.719702674,2.79620339,1.862108205,3.532221913
163,1.676307826,2.056402645,6.086821587,1.723938256,2.794803081,1.860145451,3.479207225
164,1.690222633,2.047019899,6.153894974,1.720008501,2.804449107,1.856880358,3.463657673
165,1.668711591,2.048077322,6.071217353,1.714538785,2.781902394,1.948723578,3.446012924
166,1.667623984,2.162540777,6.029395242,1.723684119,2.803590208,1.914778893,3.462901782
167,1.674327276,1.951026791,6.033331923,1.712839405,2.801618067,1.779066395,3.450977853
168,1.750515172,1.993072776,6.008293868,1.707269576,2.772778621,1.818994508,3.504064953
169,1.683680614,1.974224287,6.028264413,1.717497357,2.757529338,1.844335292,3.473870263
170,1.65641096,1.988696526,5.97254191,1.712417758,2.746308265,1.803487037,3.45024278
171,1.661781597,1.983519313,5.950090803,1.708481492,2.765419127,1.785569162,3.413963215
172,1.657576085,2.261822847,6.006248631,1.709528704,2.762518063,1.805070406,3.451119974
173,1.663359589,1.879657548,5.919612722,1.717731083,2.755253274,1.783831502,3.420271222
174,1.667245417,1.908476161,5.925174387,1.701884454,2.753848441,1.759874193,3.419164488
175,1.664790069,1.914038137,5.957402234,1.692193982,2.768859081,1.754902576,3.466448227
176,1.678996405,1.917924732,5.928241047,1.698032579,2.759286609,1.851621849,3.410080886
177,1.6551045,1.896320127,5.892978838,1.706977357,2.758841089,1.778682639,3.419676906
178,1.661112756,1.908154931,5.88257209,1.710990559,2.744528358,1.775858387,3.428901777
179,1.673543413,1.862807205,6.019898388,1.69509433,2.765261173,1.761027583,3.398124378
180,1.725018462,1.885574464,5.871885211,1.703073925,2.751800713,1.782196963,3.380084801
181,1.647425168,1.84233417,5.954406026,1.692463533,2.735001059,1.747831793,3.381390585
182,1.633684426,1.844135739,5.862400473,1.698363793,2.747835753,1.754778544,3.388778595
183,1.636910649,1.82649088,5.85383931,1.700784115,2.750879264,1.780120982,3.36416785
184,1.650724234,1.808184119,5.982954564,1.699654622,2.730543125,1.788248282,3.375245452
185,1.66399179,1.822611164,5.85437646,1.690708079,2.725835735,1.701723778,3.389928285
186,1.65824434,1.821014051,5.841302219,1.692819342,2.733486523,1.730991063,3.413501695
187,1.652678248,1.786033951,5.828759941,1.690404685,2.729882826,1.719911083,3.369101863
188,1.650080075,1.788439863,5.867180528,1.690334046,2.728286883,1.686321505,3.350019032
189,1.648056844,1.843464081,5.826279984,1.69828581,2.720917745,1.717731821,3.327118151
190,1.660698024,1.741959344,5.824047278,1.69143951,2.720291113,1.742185614,3.355147464
191,1.663776986,1.737798955,5.813955271,1.682563896,2.735505315,1.727571441,3.346126214
192,1.652044402,1.720944832,5.810302682,1.683445531,2.739246489,1.683244606,3.318452347
193,1.645021537,1.747548224,5.800408985,1.689162052,2.717304868,1.71957876,3.353768205
194,1.651206071,1.724917255,5.862202458,1.683992973,2.715756877,1.676850372,3.28382072
195,1.643277076,1.701590987,5.798742805,1.678724102,2.706887714,1.68851873,3.356396008
196,1.648796475,1.718448114,5.794392425,1.685138845,2.700171931,1.665614959,3.353726532
197,1.653825309,1.729594679,5.747130983,1.685184185,2.710960682,1.659496541,3.291673656
198,1.652983356,1.670356172,5.706084943,1.674504986,2.693965984,1.654128924,3.316715371
199,1.654206119,1.663361001,5.744147985,1.672667223,2.696822624,1.662672624,3.294000203
200,1.636565735,1.679547834,5.68363733,1.680256149,2.69992504,1.663875381,3.290120069
201,1.642844064,1.663329049,5.799109328,1.681842956,2.716761948,1.672126073,3.310175969
202,1.647859165,1.68326885,5.724529554,1.686247954,2.68010928,1.715717674,3.276505028
203,1.63370608,1.619091131,5.717178798,1.665297518,2.6906383,1.609549605,3.292368017
204,1.651188448,1.658849006,5.717107524,1.666722303,2.675893121,1.627252473,3.287967773
205,1.641545732,1.624038171,5.679357355,1.676387881,2.686687168,1.615260861,3.293797877
206,1.63391419,1.632568083,5.661494885,1.669524835,2.687087202,1.704865629,3.26037205
207,1.638895667,1.639566924,5.732059496,1.674326486,2.686288843,1.601804489,3.260256328
208,1.648128756,1.595048843,5.712736238,1.670082193,2.678716039,1.607186696,3.33056982
209,1.637652364,1.605806564,5.646647672,1.672482331,2.700499629,1.604341025,3.263016718
210,1.655633256,1.584494716,5.651737846,1.660452616,2.717778704,1.626672555,3.267165057
211,1.631181202,1.593693119,5.707931244,1.663105662,2.660400202,1.679510594,3.250448428
212,1.783639915,1.560469958,5.66070241,1.667193612,2.693862536,1.627762484,3.251544474
213,1.785479713,1.566693965,5.610165509,1.672633444,2.672325695,1.961096485,3.243490832
214,1.751934883,1.56107146,5.64431108,1.670112784,2.66799596,1.587205036,3.226827513
215,1.65017316,1.517939414,5.627812744,1.667430484,2.664569555,1.619726324,3.257015259
216,1.622142048,1.526825625,5.665845246,1.657242189,2.662245615,1.576448312,3.261104784
217,1.622003735,1.547648783,5.609206954,1.66022767,2.65641233,1.585483672,3.275537914
218,1.617184627,1.5073857,5.608192576,1.6579669,2.667737915,1.587468895,3.249663146
219,1.626189591,1.510740467,5.590011611,1.664732535,2.656766356,1.845117013,3.228973699
220,1.624571076,1.529404028,5.571416613,1.657597118,2.651900868,1.531523516,3.222874681
221,1.628650987,1.507763974,5.583391821,1.662777735,2.666171083,1.54037664,3.22613357
222,1.632103039,1.478209475,5.581925848,1.666869316,2.663105196,1.562583949,3.217280852
223,1.633094619,1.459707735,5.63698193,1.658548702,2.656816512,1.582986981,3.22039259
224,1.632433811,1.48169062,5.54665247,1.660940914,2.644452186,1.567270521,3.20496037
225,1.632944287,1.471413494,5.533543272,1.652706064,2.645736462,1.625137527,3.215726458
226,1.629324184,1.469627485,5.576646124,1.658138173,2.642500711,1.558230003,3.198320157
227,1.62554073,1.438130406,5.518253079,1.669647452,2.638090776,1.543406841,3.283877589
228,1.630574411,1.44765345,5.687824401,1.652807513,2.637502403,1.550275353,3.180179399
229,1.628634321,1.443544546,5.550781477,1.661380337,2.644156865,1.531168773,3.171672901
230,1.62402259,1.441218217,5.513566206,1.65390693,2.638025199,1.546199543,3.188765839
231,1.635073838,1.419668398,5.516408329,1.653800109,2.636715136,1.52867045,3.220578392
232,1.691506841,1.416997568,5.504528952,1.665210012,2.632393191,1.583483703,3.196872888
233,1.641166275,1.407023736,5.56572168,1.661550413,2.641778233,1.520766492,3.198755828
234,1.623225966,1.406269715,5.517224495,1.652247607,2.637235309,1.510966188,3.183339708
235,1.628982888,1.38580814,5.559618355,1.6484916,2.627922748,1.559389787,3.1729615
236,1.617897829,1.380064542,5.492369592,1.644258556,2.622250862,1.513377893,3.13640018
237,1.624725441,1.4852538,5.523058254,1.645904283,2.621639632,1.487775045,3.187554775
238,1.648381842,1.375852153,5.50396598,1.642941826,2.636405872,1.54129597,3.239243919
239,1.614174468,1.343354074,5.49794565,1.655141091,2.629413554,1.484111185,3.155643794
240,1.614696519,1.356381451,5.459579596,1.637743258,2.614738967,1.499293984,3.151240046
241,1.623093795,1.350163045,5.474691182,1.646621288,2.619336423,1.483777304,3.163666608
242,1.614336168,1.351817445,5.477743718,1.643573665,2.622202684,1.499176238,3.119684625
243,1.615278294,1.361464375,5.466538553,1.646483851,2.625458756,1.449746394,3.134207701
244,1.616361763,1.351715022,5.394807415,1.652205408,2.616732883,1.470414399,3.107665664
245,1.61568534,1.341540614,5.473565332,1.642849749,2.626225144,1.464991196,3.151370244
246,1.614601803,1.33301577,5.484389272,1.643872292,2.613267051,1.456985347,3.142973712
247,1.617228457,1.343474893,5.464267268,1.641334882,2.617581408,1.478086426,3.099057967
248,1.615061081,1.323151814,5.54064346,1.644793082,2.615524614,1.45680892,3.164199147
249,1.612978837,1.329767232,5.387777931,1.640760307,2.616004339,1.421740364,3.15303616
250,1.611952673,1.312925365,5.396561247,1.649875047,2.599280708,1.458078226,3.254341723
251,1.615479948,1.302230682,5.432222445,1.642724555,2.602071197,1.41203833,3.181524174
252,1.62200461,1.305405479,5.375641823,1.642069935,2.598406177,1.44199232,3.104348285
253,1.60945144,1.299620802,5.419731617,1.642477891,2.592425038,1.419820647,3.160613989
254,1.62262853,1.287671845,5.373778169,1.636913397,2.597441733,1.426734539,3.118369209
255,1.609770027,1.273810039,5.333226654,1.833914461,2.599072813,1.411221107,3.121675637
256,1.608572233,1.269359835,5.396547836,1.677062196,2.58563247,1.464605601,3.121019563
257,1.611076167,1.262964459,5.365635843,1.636973928,2.613254576,1.425784582,3.121384969
258,1.628892794,1.267490999,5.378659727,1.624641469,2.609778117,1.393968095,3.128313111
259,1.614461267,1.440178601,5.349895153,1.633481197,2.591418172,1.460283699,3.067452696
260,1.623764263,1.206306758,5.345254553,1.8571737,2.597180487,1.365337703,3.060318774
261,1.597312586,1.269712596,5.356133751,1.671944108,2.587567618,1.374730726,3.107323927
262,1.59090811,1.227407784,5.342523147,1.634496957,2.581936202,1.419926555,3.149875702
263,1.603949263,1.245652014,5.30980962,1.621093004,2.585064799,1.410545242,3.082785625
264,1.622697941,1.231606591,5.328917732,1.628477907,2.605395764,1.373018619,3.07537641
265,1.606597444,1.229422274,5.348764776,1.632855439,2.578389151,1.389840684,3.085232832
266,1.603903963,1.235303888,5.345492866,1.633118589,2.588443224,1.392533139,3.080595457
267,1.604024638,1.231753519,5.370561152,1.64104997,2.587039826,1.338701109,3.060202753
268,1.637197881,1.23156429,5.309461373,1.634726834,2.569990062,1.360094684,3.072810897
269,1.616298052,1.204062212,5.274846728,1.636052777,2.589593899,1.40443834,3.062616527
270,1.599909792,1.212310458,5.299439498,1.633211327,2.57172953,1.332718022,3.050738738
271,1.601255081,1.222695422,5.324557059,1.635025564,2.575537066,1.347913072,3.084935201
272,1.603845383,1.198737563,5.304166571,1.6447071,2.57225998,1.346898081,3.069452201
273,1.592930038,1.18591389,5.29933847,1.662319251,2.56686689,1.387260893,3.088620046
274,1.595355653,1.666462912,5.285367195,1.625567404,2.570095758,1.43187397,3.067061732
275,1.599734156,1.182234516,5.276606704,1.62621234,2.571253255,1.312126722,3.048023085
276,1.603038826,1.143466671,5.2608518,1.622101379,2.560773633,1.321177989,3.067776729
277,1.598225979,1.147149996,5.250972898,1.625826197,2.573971698,1.318105432,3.063810652
278,1.603368264,1.190536781,5.296347864,1.628882152,2.574066848,1.320697685,3.017783321
279,1.597978918,1.170571796,5.245885583,1.626215243,2.558728265,1.340345422,3.021867041
280,1.601983467,1.151456281,5.263097608,1.628555995,2.562028666,1.321855357,3.073238842
281,1.604995299,1.160808719,5.260389539,1.629303462,2.557359193,1.365616379,3.108750915
282,1.603547401,1.166930012,5.210120513,1.626939359,2.567370949,1.305182334,3.053708563
283,1.599649249,1.172761669,5.221187274,1.62594153,2.575053804,1.272951565,3.037523316
284,1.58848823,1.151500961,5.256796908,1.629837286,2.545903953,1.309920192,3.046489887
285,1.603020947,1.145844392,5.183321015,1.63251507,2.543599779,1.461670296,3.019523448
286,1.599304489,1.128337986,5.256274319,1.625987548,2.602276855,1.28674958,3.007734586
287,1.612453754,1.131787157,5.233279348,1.626123035,2.54730434,1.255768525,3.045940144
288,1.611904076,1.141527794,5.313204192,1.673005388,2.555423778,1.285509278,3.056977176
289,1.594616753,1.118266365,5.178962669,1.795458166,2.551108185,1.29232429,3.018054139
290,1.589956685,1.120735475,5.185333274,1.73097271,2.565970601,1.283986584,3.01780743
291,1.585641241,1.149166394,5.199405591,1.66846291,2.552262073,1.272140775,3.01225009
292,1.601416,1.103741773,5.17526668,1.631001761,2.545374083,1.320936384,3.016796453
293,1.588064726,1.116961152,5.186174909,1.617154886,2.540750404,1.267751083,3.019208433
294,1.589677212,1.096681261,5.190021032,1.613305327,2.533794056,1.263768261,3.031323984
295,1.596510815,1.109070669,5.178975014,1.615006834,2.545659257,1.268864103,2.994963646
296,1.59206996,1.096134986,5.204303015,1.619478114,2.540379316,1.28061607,3.008272211
297,1.592477771,1.092635415,5.157520734,1.619882943,2.523985085,1.249868246,2.986107244
298,1.593668053,1.089507052,5.136896645,1.640384811,2.545711841,1.263323492,2.975128129
299,1.598307359,1.117810007,5.144925556,1.642025001,2.538018143,1.275272071,2.982848449